section,a,b,locus_overlap,reading_agreement,n_shared_concepts,n_comparable_claims
1,KeterShemTov,UnKnownEskorial,0.0612,0.0,3,1
1,KeterShemTovMS_L,Likutim_bhml_1978,0.0377,,2,0
1,KeterShemTovMS_L,MeiratEinayim,0.122,0.0,10,5
1,KeterShemTovMS_L,RAMBAN,0.0364,0.0,2,1
1,KeterShemTovMS_L,Rabenu_Bahayii,0.0286,,2,0
1,KeterShemTovMS_L,SaportaOxford1645,0.0536,,3,0
1,KeterShemTovMS_L,UnKnownEskorial,0.0545,0.0,3,1
1,Likutim_bhml_1978,MeiratEinayim,0.1447,0.0,11,14
1,Likutim_bhml_1978,RAMBAN,0.0196,,1,0
1,Likutim_bhml_1978,Rabenu_Bahayii,0.0,,0,0
1,Likutim_bhml_1978,SaportaOxford1645,0.2273,0.0,10,11
1,Likutim_bhml_1978,UnKnownEskorial,0.0816,,4,0
1,MeiratEinayim,RAMBAN,0.0471,0.0,4,3
1,MeiratEinayim,Rabenu_Bahayii,0.0612,,6,0
1,MeiratEinayim,SaportaOxford1645,0.2466,0.0714,18,28
1,MeiratEinayim,UnKnownEskorial,0.0976,0.0,8,3
1,RAMBAN,Rabenu_Bahayii,0.0455,,3,0
1,RAMBAN,SaportaOxford1645,0.037,,2,0
1,RAMBAN,UnKnownEskorial,0.0,,0,0
1,Rabenu_Bahayii,SaportaOxford1645,0.029,,2,0
1,Rabenu_Bahayii,UnKnownEskorial,0.0606,,4,0
1,SaportaOxford1645,UnKnownEskorial,0.0962,,5,0
10,Comment_a_shuib_Parma_68,DaatChachamVatokan107,0.0588,,2,0
10,Comment_a_shuib_Parma_68,DaatChachamVatokan114,0.0,,0,0
10,Comment_a_shuib_Parma_68,IbnShuib,0.1333,0.125,8,8
10,Comment_a_shuib_Parma_68,KenegedAsaraMaamaritLondon847,0.15,0.5,3,2
10,Comment_a_shuib_Parma_68,KeterShemTov,0.0833,0.0,4,5
10,Comment_a_shuib_Parma_68,KeterShemTovMS_L,0.1053,0.3333,4,3
10,Comment_a_shuib_Parma_68,MeiratEinayim,0.0851,0.0769,8,13
10,Comment_a_shuib_Parma_68,RAMBAN,0.2174,0.1429,5,7
10,Comment_a_shuib_Parma_68,Rabenu_Bahayii,0.0617,0.0,5,3
10,Comment_a_shuib_Parma_68,Ricanati_Zicaron_aharon_ed,0.0714,0.3333,4,3
10,Comment_a_shuib_Parma_68,UnKnownEskorial,0.1053,0.0,4,3
10,DaatChachamVatokan107,DaatChachamVatokan114,0.3448,0.4545,10,11
10,DaatChachamVatokan107,IbnShuib,0.0541,0.0,4,2
10,DaatChachamVatokan107,KenegedAsaraMaamaritLondon847,0.0645,0.0,2,1
10,DaatChachamVatokan107,KeterShemTov,0.0508,0.0,3,1
10,DaatChachamVatokan107,KeterShemTovMS_L,0.0612,,3,0
10,DaatChachamVatokan107,MeiratEinayim,0.098,0.0526,10,19
10,DaatChachamVatokan107,RAMBAN,0.0556,,2,0
10,DaatChachamVatokan107,Rabenu_Bahayii,0.0787,0.0,7,3
10,DaatChachamVatokan107,Ricanati_Zicaron_aharon_ed,0.0769,0.0,5,3
10,DaatChachamVatokan107,UnKnownEskorial,0.0196,,1,0
10,DaatChachamVatokan114,IbnShuib,0.029,0.0,2,1
10,DaatChachamVatokan114,KenegedAsaraMaamaritLondon847,0.04,,1,0
10,DaatChachamVatokan114,KeterShemTov,0.0185,,1,0
10,DaatChachamVatokan114,KeterShemTovMS_L,0.0227,,1,0
10,DaatChachamVatokan114,MeiratEinayim,0.0606,0.1111,6,9
10,DaatChachamVatokan114,RAMBAN,0.0333,,1,0
10,DaatChachamVatokan114,Rabenu_Bahayii,0.0723,0.0,6,3
10,DaatChachamVatokan114,Ricanati_Zicaron_aharon_ed,0.0862,0.0,5,3
10,DaatChachamVatokan114,UnKnownEskorial,0.0714,0.0,3,1
10,IbnShuib,KenegedAsaraMaamaritLondon847,0.0656,0.3333,4,3
10,IbnShuib,KeterShemTov,0.1463,0.0,12,14
10,IbnShuib,KeterShemTovMS_L,0.0909,0.3333,7,3
10,IbnShuib,MeiratEinayim,0.1163,0.0625,15,16
10,IbnShuib,RAMBAN,0.1111,0.4167,7,12
10,IbnShuib,Rabenu_Bahayii,0.0579,0.0,7,12
10,IbnShuib,Ricanati_Zicaron_aharon_ed,0.0968,0.2,9,5
10,IbnShuib,UnKnownEskorial,0.0633,0.0,5,2
10,KenegedAsaraMaamaritLondon847,KeterShemTov,0.0889,0.0,4,4
10,KenegedAsaraMaamaritLondon847,KeterShemTovMS_L,0.1143,0.3333,4,3
10,KenegedAsaraMaamaritLondon847,MeiratEinayim,0.0761,0.2857,7,7
10,KenegedAsaraMaamaritLondon847,RAMBAN,0.1905,0.2,4,5
10,KenegedAsaraMaamaritLondon847,Rabenu_Bahayii,0.0641,0.0,5,9
10,KenegedAsaraMaamaritLondon847,Ricanati_Zicaron_aharon_ed,0.0962,0.25,5,4
10,KenegedAsaraMaamaritLondon847,UnKnownEskorial,0.0833,0.0,3,3
10,KeterShemTov,KeterShemTovMS_L,0.36,0.2273,18,22
10,KeterShemTov,MeiratEinayim,0.1034,0.1875,12,16
10,KeterShemTov,RAMBAN,0.08,0.25,4,8
10,KeterShemTov,Rabenu_Bahayii,0.0566,0.2,6,5
10,KeterShemTov,Ricanati_Zicaron_aharon_ed,0.1026,0.2,8,10
10,KeterShemTov,UnKnownEskorial,0.0625,0.0,4,4
10,KeterShemTovMS_L,MeiratEinayim,0.0826,0.2222,9,9
10,KeterShemTovMS_L,RAMBAN,0.1,0.2857,4,7
10,KeterShemTovMS_L,Rabenu_Bahayii,0.0851,0.0,8,4
10,KeterShemTovMS_L,Ricanati_Zicaron_aharon_ed,0.1176,0.125,8,8
10,KeterShemTovMS_L,UnKnownEskorial,0.0545,0.0,3,3
10,MeiratEinayim,RAMBAN,0.0833,0.3077,8,13
10,MeiratEinayim,Rabenu_Bahayii,0.08,0.0,12,10
10,MeiratEinayim,Ricanati_Zicaron_aharon_ed,0.1148,0.0667,14,15
10,MeiratEinayim,UnKnownEskorial,0.1456,0.0588,15,17
10,RAMBAN,Rabenu_Bahayii,0.0732,0.0,6,9
10,RAMBAN,Ricanati_Zicaron_aharon_ed,0.0877,0.1429,5,7
10,RAMBAN,UnKnownEskorial,0.2571,0.0833,9,12
10,Rabenu_Bahayii,Ricanati_Zicaron_aharon_ed,0.1215,0.0556,13,18
10,Rabenu_Bahayii,UnKnownEskorial,0.0737,0.0,7,1
10,Ricanati_Zicaron_aharon_ed,UnKnownEskorial,0.1014,0.2727,7,11
11,DaatChachamVatokan107,DaatChachamVatokan114,0.4103,0.0909,16,22
11,DaatChachamVatokan107,IbnShuib,0.1324,0.4286,9,7
11,DaatChachamVatokan107,KenegedAsaraMaamaritLondon847,0.0476,0.0,2,1
11,DaatChachamVatokan107,KeterShemTov,0.1818,0.0,10,7
11,DaatChachamVatokan107,KeterShemTovMS_L,0.1458,0.25,7,4
11,DaatChachamVatokan107,MeiratEinayim,0.1056,0.2308,15,13
11,DaatChachamVatokan107,RAMBAN,0.1064,1.0,5,1
11,DaatChachamVatokan107,Rabenu_Bahayii,0.0511,0.0,7,8
11,DaatChachamVatokan107,Ricanati_Zicaron_aharon_ed,0.1538,0.5,8,4
11,DaatChachamVatokan107,UnKnownEskorial,0.0741,0.0,4,2
11,DaatChachamVatokan114,IbnShuib,0.1429,0.0,8,8
11,DaatChachamVatokan114,KenegedAsaraMaamaritLondon847,0.0,,0,0
11,DaatChachamVatokan114,KeterShemTov,0.0833,0.25,4,4
11,DaatChachamVatokan114,KeterShemTovMS_L,0.1053,0.0,4,4
11,DaatChachamVatokan114,MeiratEinayim,0.0588,0.0909,8,11
11,DaatChachamVatokan114,RAMBAN,0.1143,0.0,4,4
11,DaatChachamVatokan114,Rabenu_Bahayii,0.0315,0.0,4,2
11,DaatChachamVatokan114,Ricanati_Zicaron_aharon_ed,0.1463,0.1429,6,7
11,DaatChachamVatokan114,UnKnownEskorial,0.0714,0.0,3,2
11,IbnShuib,KenegedAsaraMaamaritLondon847,0.0392,,2,0
11,IbnShuib,KeterShemTov,0.1045,0.0,7,6
11,IbnShuib,KeterShemTovMS_L,0.1034,0.0,6,4
11,IbnShuib,MeiratEinayim,0.1293,0.2632,19,19
11,IbnShuib,RAMBAN,0.1731,0.2308,9,13
11,IbnShuib,Rabenu_Bahayii,0.0929,0.0909,13,11
11,IbnShuib,Ricanati_Zicaron_aharon_ed,0.1311,0.25,8,4
11,IbnShuib,UnKnownEskorial,0.1552,0.1538,9,13
11,KenegedAsaraMaamaritLondon847,KeterShemTov,0.1081,0.0,4,3
11,KenegedAsaraMaamaritLondon847,KeterShemTovMS_L,0.1923,0.0,5,4
11,KenegedAsaraMaamaritLondon847,MeiratEinayim,0.0472,0.0,6,7
11,KenegedAsaraMaamaritLondon847,RAMBAN,0.0769,,2,0
11,KenegedAsaraMaamaritLondon847,Rabenu_Bahayii,0.0256,,3,0
11,KenegedAsaraMaamaritLondon847,Ricanati_Zicaron_aharon_ed,0.0588,,2,0
11,KenegedAsaraMaamaritLondon847,UnKnownEskorial,0.0968,,3,0
11,KeterShemTov,KeterShemTovMS_L,0.3333,0.1667,13,12
11,KeterShemTov,MeiratEinayim,0.1159,0.0,16,17
11,KeterShemTov,RAMBAN,0.1395,0.0,6,7
11,KeterShemTov,Rabenu_Bahayii,0.0682,0.0,9,8
11,KeterShemTov,Ricanati_Zicaron_aharon_ed,0.2667,0.0714,12,14
11,KeterShemTov,UnKnownEskorial,0.1224,0.0,6,1
11,KeterShemTovMS_L,MeiratEinayim,0.0827,0.0,11,9
11,KeterShemTovMS_L,RAMBAN,0.2188,0.125,7,8
11,KeterShemTovMS_L,Rabenu_Bahayii,0.0397,0.3333,5,3
11,KeterShemTovMS_L,Ricanati_Zicaron_aharon_ed,0.2368,0.25,9,4
11,KeterShemTovMS_L,UnKnownEskorial,0.1538,0.0,6,3
11,MeiratEinayim,RAMBAN,0.0522,0.0,7,5
11,MeiratEinayim,Rabenu_Bahayii,0.1202,0.1481,25,27
11,MeiratEinayim,Ricanati_Zicaron_aharon_ed,0.1037,0.0,14,15
11,MeiratEinayim,UnKnownEskorial,0.0576,0.0,8,2
11,RAMBAN,Rabenu_Bahayii,0.0579,0.0,7,4
11,RAMBAN,Ricanati_Zicaron_aharon_ed,0.1579,0.3333,6,3
11,RAMBAN,UnKnownEskorial,0.3125,0.1818,10,11
11,Rabenu_Bahayii,Ricanati_Zicaron_aharon_ed,0.0968,0.0,12,7
11,Rabenu_Bahayii,UnKnownEskorial,0.072,0.0,9,5
11,Ricanati_Zicaron_aharon_ed,UnKnownEskorial,0.1111,0.0,5,2
12,Comment_a_shuib_Parma_68,DaatChachamVatokan107,0.0,,0,0
12,Comment_a_shuib_Parma_68,DaatChachamVatokan114,0.0,,0,0
12,Comment_a_shuib_Parma_68,DaatChachamVatokan214,0.0,,0,0
12,Comment_a_shuib_Parma_68,IbnShuib,0.0172,,1,0
12,Comment_a_shuib_Parma_68,KenegedAsaraMaamaritLondon847,0.0,,0,0
12,Comment_a_shuib_Parma_68,KeterShemTov,0.0208,0.0,1,1
12,Comment_a_shuib_Parma_68,KeterShemTovMS_L,0.0227,0.0,1,1
12,Comment_a_shuib_Parma_68,Likutim_bhml_1978,0.0,,0,0
12,Comment_a_shuib_Parma_68,MeiratEinayim,0.0556,,2,0
12,Comment_a_shuib_Parma_68,RAMBAN,0.0,,0,0
12,Comment_a_shuib_Parma_68,Rabenu_Bahayii,0.0476,,2,0
12,Comment_a_shuib_Parma_68,Ricanati_Zicaron_aharon_ed,0.0127,,1,0
12,Comment_a_shuib_Parma_68,UnKnownEskorial,0.027,,1,0
12,DaatChachamVatokan107,DaatChachamVatokan114,0.5833,0.3333,7,3
12,DaatChachamVatokan107,DaatChachamVatokan214,0.0435,0.0,1,1
12,DaatChachamVatokan107,IbnShuib,0.0377,,2,0
12,DaatChachamVatokan107,KenegedAsaraMaamaritLondon847,0.0588,,1,0
12,DaatChachamVatokan107,KeterShemTov,0.0227,,1,0
12,DaatChachamVatokan107,KeterShemTovMS_L,0.0789,0.0,3,1
12,DaatChachamVatokan107,Likutim_bhml_1978,0.0952,,2,0
12,DaatChachamVatokan107,MeiratEinayim,0.1724,1.0,5,1
12,DaatChachamVatokan107,RAMBAN,0.087,,2,0
12,DaatChachamVatokan107,Rabenu_Bahayii,0.0526,0.0,2,1
12,DaatChachamVatokan107,Ricanati_Zicaron_aharon_ed,0.0411,,3,0
12,DaatChachamVatokan107,UnKnownEskorial,0.0625,0.0,2,1
12,DaatChachamVatokan114,DaatChachamVatokan214,0.0417,0.0,1,1
12,DaatChachamVatokan114,IbnShuib,0.037,,2,0
12,DaatChachamVatokan114,KenegedAsaraMaamaritLondon847,0.0556,,1,0
12,DaatChachamVatokan114,KeterShemTov,0.0222,,1,0
12,DaatChachamVatokan114,KeterShemTovMS_L,0.0769,0.0,3,1
12,DaatChachamVatokan114,Likutim_bhml_1978,0.0909,,2,0
12,DaatChachamVatokan114,MeiratEinayim,0.129,1.0,4,1
12,DaatChachamVatokan114,RAMBAN,0.0833,,2,0
12,DaatChachamVatokan114,Rabenu_Bahayii,0.0513,0.0,2,1
12,DaatChachamVatokan114,Ricanati_Zicaron_aharon_ed,0.0405,,3,0
12,DaatChachamVatokan114,UnKnownEskorial,0.0606,0.0,2,1
12,DaatChachamVatokan214,IbnShuib,0.0893,0.0,5,3
12,DaatChachamVatokan214,KenegedAsaraMaamaritLondon847,0.0435,,1,0
12,DaatChachamVatokan214,KeterShemTov,0.0,,0,0
12,DaatChachamVatokan214,KeterShemTovMS_L,0.0,,0,0
12,DaatChachamVatokan214,Likutim_bhml_1978,0.0357,,1,0
12,DaatChachamVatokan214,MeiratEinayim,0.0256,,1,0
12,DaatChachamVatokan214,RAMBAN,0.1481,0.0,4,3
12,DaatChachamVatokan214,Rabenu_Bahayii,0.0222,,1,0
12,DaatChachamVatokan214,Ricanati_Zicaron_aharon_ed,0.025,,2,0
12,DaatChachamVatokan214,UnKnownEskorial,0.0526,,2,0
12,IbnShuib,KenegedAsaraMaamaritLondon847,0.0577,0.0,3,1
12,IbnShuib,KeterShemTov,0.038,,3,0
12,IbnShuib,KeterShemTovMS_L,0.04,,3,0
12,IbnShuib,Likutim_bhml_1978,0.1321,0.0,7,3
12,IbnShuib,MeiratEinayim,0.0441,,3,0
12,IbnShuib,RAMBAN,0.1481,0.2,8,5
12,IbnShuib,Rabenu_Bahayii,0.1159,0.0,8,3
12,IbnShuib,Ricanati_Zicaron_aharon_ed,0.13,0.1,13,10
12,IbnShuib,UnKnownEskorial,0.1094,0.0,7,3
12,KenegedAsaraMaamaritLondon847,KeterShemTov,0.0,,0,0
12,KenegedAsaraMaamaritLondon847,KeterShemTovMS_L,0.025,,1,0
12,KenegedAsaraMaamaritLondon847,Likutim_bhml_1978,0.0952,,2,0
12,KenegedAsaraMaamaritLondon847,MeiratEinayim,0.0625,,2,0
12,KenegedAsaraMaamaritLondon847,RAMBAN,0.0417,,1,0
12,KenegedAsaraMaamaritLondon847,Rabenu_Bahayii,0.0,,0,0
12,KenegedAsaraMaamaritLondon847,Ricanati_Zicaron_aharon_ed,0.0411,,3,0
12,KenegedAsaraMaamaritLondon847,UnKnownEskorial,0.0,,0,0
12,KeterShemTov,KeterShemTovMS_L,0.3333,0.2143,17,14
12,KeterShemTov,Likutim_bhml_1978,0.0638,0.0,3,1
12,KeterShemTov,MeiratEinayim,0.0702,0.25,4,4
12,KeterShemTov,RAMBAN,0.0612,0.0,3,2
12,KeterShemTov,Rabenu_Bahayii,0.0308,0.0,2,1
12,KeterShemTov,Ricanati_Zicaron_aharon_ed,0.0842,0.2857,8,7
12,KeterShemTov,UnKnownEskorial,0.0702,,4,0
12,KeterShemTovMS_L,Likutim_bhml_1978,0.0698,,3,0
12,KeterShemTovMS_L,MeiratEinayim,0.0962,0.3333,5,3
12,KeterShemTovMS_L,RAMBAN,0.0213,,1,0
12,KeterShemTovMS_L,Rabenu_Bahayii,0.0161,,1,0
12,KeterShemTovMS_L,Ricanati_Zicaron_aharon_ed,0.0645,0.0,6,3
12,KeterShemTovMS_L,UnKnownEskorial,0.0179,,1,0
12,Likutim_bhml_1978,MeiratEinayim,0.0833,,3,0
12,Likutim_bhml_1978,RAMBAN,0.0714,0.0,2,2
12,Likutim_bhml_1978,Rabenu_Bahayii,0.0227,,1,0
12,Likutim_bhml_1978,Ricanati_Zicaron_aharon_ed,0.0125,,1,0
12,Likutim_bhml_1978,UnKnownEskorial,0.0833,0.0,3,1
12,MeiratEinayim,RAMBAN,0.0789,0.0,3,3
12,MeiratEinayim,Rabenu_Bahayii,0.0769,0.0,4,3
12,MeiratEinayim,Ricanati_Zicaron_aharon_ed,0.0337,,3,0
12,MeiratEinayim,UnKnownEskorial,0.0417,0.0,2,1
12,RAMBAN,Rabenu_Bahayii,0.0682,0.0,3,1
12,RAMBAN,Ricanati_Zicaron_aharon_ed,0.0122,,1,0
12,RAMBAN,UnKnownEskorial,0.1389,0.2,5,5
12,Rabenu_Bahayii,Ricanati_Zicaron_aharon_ed,0.1395,0.4545,12,11
12,Rabenu_Bahayii,UnKnownEskorial,0.1429,0.3333,7,3
12,Ricanati_Zicaron_aharon_ed,UnKnownEskorial,0.0698,0.0,6,3
13,DaatChachamVatokan107,DaatChachamVatokan114,0.0625,,1,0
13,DaatChachamVatokan107,IbnShuib,0.0526,,2,0
13,DaatChachamVatokan107,KenegedAsaraMaamaritLondon847,0.2222,0.3333,4,3
13,DaatChachamVatokan107,KeterShemTov,0.0517,0.0,3,2
13,DaatChachamVatokan107,KeterShemTovMS_L,0.0702,0.0,4,2
13,DaatChachamVatokan107,MeiratEinayim,0.102,0.0,5,11
13,DaatChachamVatokan107,RAMBAN,0.0303,,1,0
13,DaatChachamVatokan107,Rabenu_Bahayii,0.0476,,2,0
13,DaatChachamVatokan107,Ricanati_Zicaron_aharon_ed,0.0476,,1,0
13,DaatChachamVatokan107,UnKnownEskorial,0.087,0.0,2,1
13,DaatChachamVatokan114,IbnShuib,0.075,,3,0
13,DaatChachamVatokan114,KenegedAsaraMaamaritLondon847,0.1364,0.0,3,3
13,DaatChachamVatokan114,KeterShemTov,0.0667,0.0,4,2
13,DaatChachamVatokan114,KeterShemTovMS_L,0.0492,0.0,3,3
13,DaatChachamVatokan114,MeiratEinayim,0.14,0.0,7,10
13,DaatChachamVatokan114,RAMBAN,0.0882,,3,0
13,DaatChachamVatokan114,Rabenu_Bahayii,0.0,,0,0
13,DaatChachamVatokan114,Ricanati_Zicaron_aharon_ed,0.087,0.0,2,1
13,DaatChachamVatokan114,UnKnownEskorial,0.0769,,2,0
13,IbnShuib,KenegedAsaraMaamaritLondon847,0.1707,0.0,7,4
13,IbnShuib,KeterShemTov,0.1757,0.0,13,12
13,IbnShuib,KeterShemTovMS_L,0.2254,0.1,16,20
13,IbnShuib,MeiratEinayim,0.1765,0.1667,12,6
13,IbnShuib,RAMBAN,0.3043,0.0833,14,12
13,IbnShuib,Rabenu_Bahayii,0.0769,1.0,5,1
13,IbnShuib,Ricanati_Zicaron_aharon_ed,0.1707,0.125,7,8
13,IbnShuib,UnKnownEskorial,0.2143,0.0,9,8
13,KenegedAsaraMaamaritLondon847,KeterShemTov,0.1129,0.2,7,5
13,KenegedAsaraMaamaritLondon847,KeterShemTovMS_L,0.1311,0.2857,8,7
13,KenegedAsaraMaamaritLondon847,MeiratEinayim,0.24,0.0417,12,24
13,KenegedAsaraMaamaritLondon847,RAMBAN,0.1667,0.0,6,6
13,KenegedAsaraMaamaritLondon847,Rabenu_Bahayii,0.1064,0.0,5,2
13,KenegedAsaraMaamaritLondon847,Ricanati_Zicaron_aharon_ed,0.2,0.0,5,2
13,KenegedAsaraMaamaritLondon847,UnKnownEskorial,0.2692,0.0,7,9
13,KeterShemTov,KeterShemTovMS_L,0.3846,0.1818,30,33
13,KeterShemTov,MeiratEinayim,0.1609,0.0,14,13
13,KeterShemTov,RAMBAN,0.125,0.0,9,4
13,KeterShemTov,Rabenu_Bahayii,0.0706,0.0,6,1
13,KeterShemTov,Ricanati_Zicaron_aharon_ed,0.1311,0.0,8,5
13,KeterShemTov,UnKnownEskorial,0.0909,0.0,6,6
13,KeterShemTovMS_L,MeiratEinayim,0.1744,0.0714,15,14
13,KeterShemTovMS_L,RAMBAN,0.1408,0.0,10,2
13,KeterShemTovMS_L,Rabenu_Bahayii,0.0833,0.0,7,2
13,KeterShemTovMS_L,Ricanati_Zicaron_aharon_ed,0.1311,0.0,8,8
13,KeterShemTovMS_L,UnKnownEskorial,0.125,0.0,8,8
13,MeiratEinayim,RAMBAN,0.1385,0.5,9,4
13,MeiratEinayim,Rabenu_Bahayii,0.0633,0.0,5,1
13,MeiratEinayim,Ricanati_Zicaron_aharon_ed,0.0877,,5,0
13,MeiratEinayim,UnKnownEskorial,0.1404,0.1429,8,7
13,RAMBAN,Rabenu_Bahayii,0.0847,0.0,5,6
13,RAMBAN,Ricanati_Zicaron_aharon_ed,0.1053,0.0,4,2
13,RAMBAN,UnKnownEskorial,0.2162,0.1,8,10
13,Rabenu_Bahayii,Ricanati_Zicaron_aharon_ed,0.0833,0.5,4,2
13,Rabenu_Bahayii,UnKnownEskorial,0.0784,0.25,4,4
13,Ricanati_Zicaron_aharon_ed,UnKnownEskorial,0.1,0.0,3,1
14,DaatChachamVatokan107,DaatChachamVatokan114,0.4583,0.1667,11,6
14,DaatChachamVatokan107,DaatChachamVatokan214,0.0,,0,0
14,DaatChachamVatokan107,IbnShuib,0.1,,3,0
14,DaatChachamVatokan107,KenegedAsaraMaamaritLondon847,0.2609,0.0,6,6
14,DaatChachamVatokan107,KeterShemTov,0.05,,2,0
14,DaatChachamVatokan107,KeterShemTovMS_L,0.0571,0.0,2,1
14,DaatChachamVatokan107,MeiratEinayim,0.0735,0.0,5,2
14,DaatChachamVatokan107,RAMBAN,0.0476,,1,0
14,DaatChachamVatokan107,Rabenu_Bahayii,0.1389,,5,0
14,DaatChachamVatokan107,Ricanati_Zicaron_aharon_ed,0.0755,0.5,4,2
14,DaatChachamVatokan107,SaportaOxford1645,0.1034,,3,0
14,DaatChachamVatokan107,UnKnownEskorial,0.0833,,3,0
14,DaatChachamVatokan114,DaatChachamVatokan214,0.0,,0,0
14,DaatChachamVatokan114,IbnShuib,0.0909,0.0,3,2
14,DaatChachamVatokan114,KenegedAsaraMaamaritLondon847,0.28,0.0,7,8
14,DaatChachamVatokan114,KeterShemTov,0.0227,,1,0
14,DaatChachamVatokan114,KeterShemTovMS_L,0.0256,,1,0
14,DaatChachamVatokan114,MeiratEinayim,0.0411,0.0,3,1
14,DaatChachamVatokan114,RAMBAN,0.087,0.0,2,1
14,DaatChachamVatokan114,Rabenu_Bahayii,0.1282,,5,0
14,DaatChachamVatokan114,Ricanati_Zicaron_aharon_ed,0.0714,1.0,4,1
14,DaatChachamVatokan114,SaportaOxford1645,0.0938,1.0,3,1
14,DaatChachamVatokan114,UnKnownEskorial,0.05,,2,0
14,DaatChachamVatokan214,IbnShuib,0.0,,0,0
14,DaatChachamVatokan214,KenegedAsaraMaamaritLondon847,0.0,,0,0
14,DaatChachamVatokan214,KeterShemTov,0.0256,,1,0
14,DaatChachamVatokan214,KeterShemTovMS_L,0.0294,,1,0
14,DaatChachamVatokan214,MeiratEinayim,0.0143,,1,0
14,DaatChachamVatokan214,RAMBAN,0.0,,0,0
14,DaatChachamVatokan214,Rabenu_Bahayii,0.0541,0.0,2,1
14,DaatChachamVatokan214,Ricanati_Zicaron_aharon_ed,0.0784,0.5,4,2
14,DaatChachamVatokan214,SaportaOxford1645,0.0,,0,0
14,DaatChachamVatokan214,UnKnownEskorial,0.0571,,2,0
14,IbnShuib,KenegedAsaraMaamaritLondon847,0.1538,0.5,4,2
14,IbnShuib,KeterShemTov,0.1622,1.0,6,1
14,IbnShuib,KeterShemTovMS_L,0.1515,1.0,5,1
14,IbnShuib,MeiratEinayim,0.0882,0.0,6,5
14,IbnShuib,RAMBAN,0.2105,0.2,4,5
14,IbnShuib,Rabenu_Bahayii,0.0769,0.0,3,3
14,IbnShuib,Ricanati_Zicaron_aharon_ed,0.0741,0.0,4,1
14,IbnShuib,SaportaOxford1645,0.1379,0.0,4,2
14,IbnShuib,UnKnownEskorial,0.0811,0.0,3,2
14,KenegedAsaraMaamaritLondon847,KeterShemTov,0.0541,,2,0
14,KenegedAsaraMaamaritLondon847,KeterShemTovMS_L,0.0625,,2,0
14,KenegedAsaraMaamaritLondon847,MeiratEinayim,0.0606,0.0,4,4
14,KenegedAsaraMaamaritLondon847,RAMBAN,0.1176,0.0,2,2
14,KenegedAsaraMaamaritLondon847,Rabenu_Bahayii,0.0857,0.0,3,1
14,KenegedAsaraMaamaritLondon847,Ricanati_Zicaron_aharon_ed,0.08,0.0,4,2
14,KenegedAsaraMaamaritLondon847,SaportaOxford1645,0.1154,0.0,3,2
14,KenegedAsaraMaamaritLondon847,UnKnownEskorial,0.0909,0.0,3,1
14,KeterShemTov,KeterShemTovMS_L,0.4688,0.1765,15,17
14,KeterShemTov,MeiratEinayim,0.0375,,3,0
14,KeterShemTov,RAMBAN,0.0667,1.0,2,1
14,KeterShemTov,Rabenu_Bahayii,0.0851,0.0,4,3
14,KeterShemTov,Ricanati_Zicaron_aharon_ed,0.0984,0.0,6,4
14,KeterShemTov,SaportaOxford1645,0.05,,2,0
