section,n_graphs_with,n_graphs_in_section,global_key,labels,legacy_n_graphs_with,legacy_n_graphs_in_section,v9_status,v9_correction
19_1,8,9,G:31,הכרובים | כרובים | שני הכרובים,,,valid,
19_1,7,9,G:11,משה,,,valid,
19_1,7,9,G:47,בית המשכן | המשכן | משכן,,,valid,
19_1,6,9,G:3,ארץ ישראל | הארץ,,,valid,
19_1,6,9,G:26,דוד | דוד המלך,,,valid,
19_1,6,9,G:6,גדולה | גדולת ה' | גדל | גדלו,,,valid,
19_1,6,9,G:18,זהב,,,valid,
19_1,6,9,G:25,אלהי ישראל | יי' אלהינו,,,valid,
19_1,6,9,G:40,"ה' | י""י | יי' | שם הוי' | שם המיוחד",,,valid,
19_1,6,9,G:33,בית המקדש | המקדש | מקדש,,,valid,
19_1,5,9,G:38,"ארון | ארון ברית י""י | ארון ברית יי' | ארון הברית | הארון ברית יי'",,,valid,
19_1,5,9,G:7,דיבור | הדבור,,,valid,
19_1,5,9,G:13,השמים | שמים,,,valid,
19_1,5,9,G:16,אש | אש ה' | אשו הגדולה | דמות אש | האש,,,valid,
19_1,5,9,G:29,רמז,,,valid,
19_1,5,9,G:27,המרכבה | מרכבה,,,valid,
19_1,5,9,G:23,הקדוש ברוך הוא | השם | השם הנכבד והנורא | שם ה',,,valid,
19_1,5,9,G:5,השכינה | שוכן | שכינה,,,valid,
19_1,5,9,G:28,העטרת | כתר | עטרה,,,valid,
19_1,5,9,G:15,השמים | מן השמים | שמי השמים | שמים,,,valid,
19_1,4,9,G:10,הכפרת | כפורת,,,valid,
19_1,4,9,G:0,לשמך | שמך,,,valid,
19_1,4,9,G:4,התפארת | תפארת,,,valid,
19_1,4,9,G:48,מרכבת הכבוד | תבנית המרכבה,,,valid,
19_1,4,9,G:68,סוד | סוד המשכן,,,valid,
19_1,4,9,G:73,שלמה,,,valid,
19_1,4,9,G:54,הר סיני,,,valid,
19_2,9,12,G:1,ארון | ארון ברית ה' | ארון העדות | הארון,,,valid,
19_2,8,12,G:45,תפארת,,,valid,
19_2,8,12,G:51,כרובים | כרובים שראה יחזקאל | שני הכרובים,,,valid,
19_2,8,12,G:65,יחזקאל,,,valid,
19_2,7,12,G:5,הכרובים | כרובים | שני כרובים,,,valid,
19_2,7,12,G:40,נהר כבר,,,valid,
19_2,7,12,G:36,הכפורת | הכפרת | כפורת,,,valid,
19_2,7,12,G:42,אחד | אחדות | באחד | האחדות | הבין באחד | שהכל דבר אחד,,,valid,
19_2,6,12,G:12,רמז,,,valid,
19_2,6,12,G:39,כרובים | כרובים אחרים,,,valid,
19_2,6,12,G:84,אלהים | ה' | שם הגדול,,,valid,
19_2,6,12,G:82,הכבוד | כבוד,,,valid,
2,7,7,G:40,קין,,,valid,
2,6,7,G:30,הבל,,,valid,
2,5,7,G:19,"משה | משה רבינו ע""ה",,,valid,
2,5,7,G:20,"אל | אלהים | ה' | השם | יהו""ה",,,valid,
2,5,7,G:92,שת,,,valid,
2,4,7,G:11,חטא,,,valid,
2,4,7,G:17,"ה' | הקב""ה | השם",,,valid,
2,4,7,G:22,הסוד המקובל | סוד,,,valid,
2,4,7,G:26,אדם,,,valid,
2,3,7,G:70,פירוש | ראשי תיבות,,,valid,
2,3,7,G:24,סוד,,,valid,
2,3,7,G:21,כרמוז בכתוב | רמזוהו,,,valid,
2,3,7,G:62,התאומות | שתי תאומות של הבל,,,valid,
2,3,7,G:89,מחשבה,,,valid,
2,3,7,G:3,הכתוב | כתוב,,,valid,
2,3,7,G:34,בנין של מטה | הבניין | למטה,,,valid,
2,3,7,G:75,אביו | אביו ואמו | אדם,,,valid,
2,3,7,G:33,חוה,,,valid,
2,3,7,G:4,זרע פשתן,,,valid,
2,3,7,G:25,רמוז | רמז,,,valid,
2,3,7,G:9,קיצץ בנטיעות | קצץ בנטיעות,,,valid,
2,3,7,G:67,אמרו | מאמרם,,,valid,
2,3,7,G:36,בנין של מעלה | מעלה | נסתר של מעלה,,,valid,
2,3,7,G:107,בנין | הבנין,,,valid,
2,3,7,G:115,השבעה | שבע ספירות,,,valid,
2,3,7,G:143,הבל,,,valid,
2,3,7,G:153,זרע,,,valid,
2,3,7,G:140,אל | אלהים | יתברך,,,valid,
2,3,7,G:180,קהלת,,,valid,
2,3,7,G:130,מדה כנגד מדה,,,valid,
2,3,7,G:176,"הקב""ה | הש""י",,,valid,
20,9,13,G:11,המנורה | מנורה,,,valid,
20,9,13,G:71,הלחם | לחם | לחם הפנים,,,valid,
20,8,13,G:17,רמז,,,valid,
20,8,13,G:32,קני המנורה | ששה קנים,,,valid,
20,7,13,G:25,דרום | לדרום,,,valid,
20,7,13,G:64,השלחן | שולחן | שלחן,,,valid,
20,6,13,G:5,הנר | הנרות | נר | נר אלהים,,,valid,
20,6,13,G:14,"משה | משה רבינו | משה רע""ה",,,valid,
20,6,13,G:27,השם | השם הגדול | שם | שם ה' | שם הגדול | שם המיוחד,,,valid,
20,6,13,G:30,פנים | פנים אל פנים | פנים בתוך פנים,,,valid,
20,6,13,G:35,סוד | סודו | שמו וסודו,,,valid,
20,6,13,G:33,"ה' | הקב""ה | יי' | שם העצם | שמו | שמו וסודו",,,valid,
20,6,13,G:76,בצפון | כצפון | צפון,,,valid,
21,10,9,G:13,השכינה | שכינה,10,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
21,8,9,G:14,השם הנכבד | שמך | שמך הגדול,8,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
21,7,9,G:2,ארץ | הארץ | לארץ,7,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
21,7,9,G:18,ישראל,7,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
21,6,9,G:10,הפשט | פשט,6,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
21,6,9,G:9,בתפארת | מדת התפארת | תפארת,6,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
21,6,9,G:1,ארץ מצרים | מצרים,6,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
21,5,9,G:17,יהושע,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
21,5,9,G:20,ישראל,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
21,5,9,G:32,צורך הדיוט | צרך הדיוט,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
21,5,9,G:31,צורך גבוה,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,8,9,G:10,הקרבן | קרבן | קרבן אלהים,8,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,8,9,G:122,המזבח | מזבח | מזבחי,8,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,8,9,G:89,הקרבן | זבחיך | קרבן | קרבני,8,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,7,9,G:17,אש | האש | לאשים,7,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,7,9,G:33,עולה,7,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,7,9,G:63,הברכה | השפע | שפע הברכה | שפע הרצון,7,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,6,9,G:27,הש' המיוחד | יי' | לשם המיוחד | שם המיוחד | שמו המיוחד,6,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,6,9,G:35,מדת הרחמים | מדת רחמים | רחמים,6,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,6,9,G:36,אש | אשה,6,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,6,9,G:59,"ה""א | השם המיוחד | לשם המיוחד | שם אלקים | שמו המיוחד",6,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,6,9,G:61,הקרבנות | עניין הקרבנות | קרבנות,6,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,6,9,G:131,המלאך | מלאך,6,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,6,9,G:71,סוד הקרבנות | סוד נעלם,6,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,5,9,G:29,הכהן | הכהן המקריב | כהן,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,5,9,G:25,הקרבנות | קורבנות | קרבנות,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,5,9,G:0,"אז""ל | כמו שאמרו | מאמר החכמים | מאמר חז""ל | רבותינו",5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,5,9,G:136,מנוח,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,5,9,G:126,בקדש | קדש,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,5,9,G:109,השם הגדול | השם שלם | שם הראשון | שם מלא | שמות,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,5,9,G:106,זבח | זביחה,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,5,9,G:137,פגול | פיגול,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,5,9,G:101,הקרבן | הקרבת קרבן | קרבן,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,5,9,G:112,העליונים והשפלים | לעליון | עליון,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,5,9,G:116,"אלהים | ה' | ה' הטוב | הקב""ה | י""י",5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,5,9,G:102,אשה,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,5,9,G:114,תורת כהנים,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,5,9,G:170,רמז | רמזים,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
22,5,9,G:158,"השם המיוחד | יו""ד ה""א | שם המיוחד",5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
23,8,9,G:3,אש | אש המזבח | אשה | האש,8,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
23,8,9,G:1,בני אהרן | נדב ואביהוא,8,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
23,8,9,G:26,הקטרת | קטורה | קטורת | קטרת,8,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
23,5,9,G:22,מדת הדין | מידת הדין,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
23,5,9,G:40,קטורת זרה | קטרת זרה,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
23,5,9,G:28,הקטרה | קטורת | קטרת,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
23,5,9,G:34,השם המיוחד | יי' | שם המיוחד,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
23,5,9,G:35,הכתו' | הכתוב,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
23,5,9,G:48,לפני ה' | לפניו,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
23,5,9,G:49,עדת קורח | עדת קרח,5,10,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
24,10,13,G:0,עשו,,,valid,
24,8,13,G:14,אותו של עזאזל | השעיר | השעיר המשתלח | שעיר | שעיר המשתלח | שעיר עזאזל,,,valid,
24,8,13,G:38,רוח | רוח הטומאה | רוח טומאה,,,valid,
24,8,13,G:69,השדים המשטינים והמזיקים | שעירים,,,valid,
24,7,13,G:6,קרבן | קרבנו,,,valid,
24,7,13,G:32,המדבר | המדברה | חוץ לעיר | מדבר | מדברה,,,valid,
24,7,13,G:40,השעיר אשר לעזאזל | השעיר המשתלח | עזאזל | שעיר המשתלח | שעיר עזאזל,,,valid,
24,7,13,G:67,ברמז | רמז | רמזי,,,valid,
24,7,13,G:59,השעיר,,,valid,
24,7,13,G:71,העזאזל | כח חזק | לעזאזל | עזאזל,,,valid,
24,7,13,G:134,אצילות | אצילות כחו | מאצילותו,,,valid,
24,7,13,G:227,"ה' | הב""ה | הקב""ה | הקדוש ברוך הוא | השם",,,valid,
24,7,13,G:228,יום הכפורים,,,valid,
24,6,13,G:3,השדים | מזיקים | שד | שדים,,,valid,
24,6,13,G:2,המקטרג | המקטרגים | הקטיגור,,,valid,
24,6,13,G:30,לעזאזל | עזאזל,,,valid,
24,6,13,G:37,עולות | קרבן עולה,,,valid,
24,6,13,G:41,שעיר החטאת | שעיר חטאת,,,valid,
24,6,13,G:84,לשמו של עזאזל | סוד המלה | סוד העזאזל | סוד עזאזל | עזאזל,,,valid,
24,6,13,G:80,לעזאזל | עזאזל | שעיר העזאזל,,,valid,
24,6,13,G:192,המזבח | מזבח | מזבח ה',,,valid,
24,6,13,G:108,הסוד | סוד | סודו | סודו וסוד שמו,,,valid,
24,6,13,G:182,לעזאזל | עזאזל,,,valid,
25,7,9,G:25,שם קדשי | שמו הגדול,,,valid,
25,5,9,G:21,מולך,,,valid,
25,5,9,G:29,הקדש | השם | השם הגדול | שם קדשי | שמו הגדול,,,valid,
25,5,9,G:32,מקדשו | מקדשי,,,valid,
25,5,9,G:38,זרע האמת | זרע הקדש | זרע קדש | זרע קודש,,,valid,
25,4,9,G:1,"החכם | הרב | הרב ז""ל",,,valid,
25,4,9,G:16,המקריב | המקריב אותו למולך | המקריב בנו למולך | הקרבה,,,valid,
25_2,7,8,G:18,השכינה | שכינה,7,9,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
25_2,6,8,G:4,יי' | שם קדשו | שמו | שמו הגדול,6,9,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
25_2,5,8,G:10,במדרש | מדרשם,5,9,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
25_2,5,8,G:14,ברכה,5,9,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
25_2,5,8,G:35,מולך,5,9,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
25_2,5,8,G:41,מדת הדין | קשה,5,9,requires_pipeline_rerun,⟦תיקון V9: המכנה תוקן; מספר הגרפים החולקים את המושג דורש הרצה מחדש של הקנוניזציה המקורית⟧
